City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
60,Hilo,US,2020-08-01 15:33:31,19.73,-155.09,295.15,88,90,2.1
61,Pevek,RU,2020-08-01 15:33:31,69.7,170.31,275.42,96,100,0.84
62,Merauke,ID,2020-08-01 15:33:31,-8.47,140.33,296.19,77,89,6.6
63,Kavaratti,IN,2020-08-01 15:33:31,10.57,72.64,300.35,83,100,9.11
64,Arman,RU,2020-08-01 15:33:32,59.7,150.17,284.19,68,78,1.04
65,Cayenne,GF,2020-08-01 15:33:32,4.93,-52.33,304.15,62,90,4.6
66,Great Falls,US,2020-08-01 15:33:06,47.5,-111.3,295.93,53,1,2.6
67,Cape Town,ZA,2020-08-01 15:31:22,-33.93,18.42,293.15,49,0,2.1
68,Saldanha,ZA,2020-08-01 15:33:32,-33.01,17.94,299.15,24,0,1.5
69,Faya,SA,2020-08-01 15:33:32,18.39,42.45,295.15,77,40,5.7
70,Puerto Ayora,EC,2020-08-01 15:33:32,-0.74,-90.35,296.15,73,75,6.2
71,Amethi,IN,2020-08-01 15:33:32,26.15,81.82,304.92,66,86,2.74
72,Tiksi,RU,2020-08-01 15:33:32,71.69,128.87,277.2,90,4,1.03
73,Maningrida,AU,2020-08-01 15:33:33,-12.07,134.27,291.96,85,10,4.25
74,Pouembout,NC,2020-08-01 15:33:33,-21.13,164.9,289.54,77,16,3.94
75,Narsaq,GL,2020-08-01 15:33:33,60.92,-46.05,286.15,58,75,1.5
76,Vysokogornyy,RU,2020-08-01 15:33:33,50.12,139.15,290.44,95,100,1.46
77,Acarau,BR,2020-08-01 15:33:33,-2.89,-40.12,304.55,47,94,6.44
78,Salalah,OM,2020-08-01 15:33:05,17.02,54.09,302.15,79,40,4.1
79,Strezhevoy,RU,2020-08-01 15:33:34,60.73,77.59,293.15,68,20,4.0
80,Pisco,PE,2020-08-01 15:33:34,-13.7,-76.22,290.15,72,75,2.1
81,Dunedin,NZ,2020-08-01 15:30:04,-45.87,170.5,282.59,90,15,3.13
82,Mayo,US,2020-08-01 15:33:34,38.89,-76.51,302.59,78,20,3.1
